Product Mass Unit,Sales Amount,Store Label 4,Marketing Keywords,Original Price,Digital Gift,Store Label 0,Target Age,Compare Rate,Store Label 3,Extra Info,Picture Text,Marketing Group,Size Type,Item Code,Target Gender,URL Path,Current Price,Category,Meta Details,Visual Order,Shipping Method,Color Choice,Stock Rule,Store Label 1,Product Name,Item Number,Item State,Stock Count,Style Type,Product Image,Barcode ID,Description,Image Link,Size Value,Custom Item,Store Label 2,Color Type,Unit Cost,Keywords,Brand Name,Live Status,Weight in G,Item Group,Meta Title,Needs Shipping,Store Category,Tax Rule,Stock System,Is Taxable,Item Condition
g,,,,,,,,,,,,Tops,Size,summer-tee-s,Unisex,summer-breeze-tee,24.99,Shirts,Perfect summer t-shirt for casual wear,1,manual,Blue,deny,,Summer Breeze Tee,ST001,active,50,,,,Lightweight cotton t-shirt perfect for summer days,https://example.com/summer-tee-blue.jpg,Small,FALSE,,,,summer casual basic tee,SunStyle,TRUE,200,Clothing,Cool Summer T-Shirt Collection,TRUE,Apparel,,,TRUE,New
g,,,,,,,,29.99,,,,Tops,Size,summer-tee-m,Unisex,summer-breeze-tee,24.99,Shirts,Perfect summer t-shirt for casual wear,2,manual,Red,deny,,Summer Breeze Tee,ST002,active,45,,,,Lightweight cotton t-shirt perfect for summer days,https://example.com/summer-tee-red.jpg,Medium,FALSE,,,,summer casual basic tee,SunStyle,TRUE,220,Clothing,Cool Summer T-Shirt Collection,TRUE,Apparel,,,TRUE,New
g,,,,,,,,45.99,,,,Bottoms,Size,cargo-pant-32,Unisex,adventure-cargo,39.99,Pants,Durable cargo pants for outdoor activities,1,manual,Khaki,deny,,Adventure Cargo Pants,CP001,active,30,,,,Multi-pocket cargo pants for everyday adventure,https://example.com/cargo-khaki.jpg,32,FALSE,,,,outdoor cargo pants,RangerWear,TRUE,450,Clothing,Adventure Ready Cargo Pants,TRUE,Apparel,,,TRUE,New
g,,,,,,,,89.99,,,,Outerwear,Size,winter-jack-m,Unisex,snow-peak-jacket,79.99,Jackets,Warm winter jacket with water-resistant finish,1,manual,Black,deny,,Snow Peak Jacket,WJ001,active,25,,,,Insulated winter jacket with multiple pockets,https://example.com/winter-black.jpg,Medium,FALSE,,,,winter outerwear warm,PeakGear,TRUE,800,Clothing,Premium Winter Protection,TRUE,Apparel,,,TRUE,New
g,,,,,,,,34.99,,,,Accessories,Size,sport-cap-os,Unisex,flex-fit-cap,29.99,Hats,Comfortable sports cap with moisture-wicking band,1,manual,Navy,deny,,FlexFit Sports Cap,SC001,active,60,,,,Athletic cap with adjustable back closure,https://example.com/cap-navy.jpg,One Size,FALSE,,,,sports cap athletic,SportPro,TRUE,150,Accessories,Professional Sports Cap,TRUE,Apparel,,,TRUE,New
g,,,,,,,,59.99,,,,Activewear,Size,yoga-pant-s,Womens,flex-yoga-pants,49.99,Pants,High-waisted yoga pants with pocket,1,manual,Purple,deny,,FlexFit Yoga Pants,YP001,active,40,,,,Stretchy yoga pants with side pockets,https://example.com/yoga-purple.jpg,Small,FALSE,,,,yoga athletic fitness,ZenWear,TRUE,300,Clothing,Premium Yoga Wear,TRUE,Apparel,,,TRUE,New
g,,,,,,,,39.99,,,,Tops,Size,polo-shirt-l,Mens,classic-polo,34.99,Shirts,Classic polo shirt for business casual wear,1,manual,White,deny,,Business Classic Polo,BP001,active,35,,,,Cotton polo shirt with embroidered logo,https://example.com/polo-white.jpg,Large,FALSE,,,,business casual polo,WorkStyle,TRUE,250,Clothing,Professional Polo Collection,TRUE,Apparel,,,TRUE,New
g,,,,,,,,79.99,,,,Denim,Size,slim-jean-30,Unisex,urban-slim-jeans,69.99,Pants,Modern slim-fit jeans with stretch,1,manual,Indigo,deny,,Urban Slim Jeans,UJ001,active,45,,,,Comfortable slim-fit jeans with stretch fabric,https://example.com/jeans-indigo.jpg,30,FALSE,,,,denim slim-fit casual,UrbanDenim,TRUE,400,Clothing,Premium Stretch Denim,TRUE,Apparel,,,TRUE,New
g,,,,,,,,29.99,,,,Accessories,Size,beach-hat-os,Unisex,sun-shield-hat,24.99,Hats,Wide-brim sun hat for beach days,1,manual,Beige,deny,,Sun Shield Beach Hat,BH001,active,55,,,,Protective sun hat with UPF 50+,https://example.com/hat-beige.jpg,One Size,FALSE,,,,beach summer hat,CoastStyle,TRUE,180,Accessories,Beach Protection Hat,TRUE,Apparel,,,TRUE,New
g,,,,,,,,49.99,,,,Tops,Size,tank-top-s,Womens,summer-tank,44.99,Shirts,Breathable tank top for workout or casual wear,1,manual,Pink,deny,,Summer Breeze Tank,TT001,active,50,,,,Lightweight athletic tank top with racer back,https://example.com/tank-pink.jpg,Small,FALSE,,,,workout casual tank,FitStyle,TRUE,150,Clothing,Athletic Tank Collection,TRUE,Apparel,,,TRUE,New
g,,,,,,,,69.99,,,,Outerwear,Size,zip-hood-m,Unisex,comfort-hoodie,59.99,Sweaters,Comfortable zip-up hoodie for everyday wear,1,manual,Grey,deny,,Comfort Zone Hoodie,CH001,active,40,,,,Soft cotton blend hoodie with front pockets,https://example.com/hoodie-grey.jpg,Medium,FALSE,,,,casual hoodie basic,ComfortWear,TRUE,500,Clothing,Essential Hoodie Collection,TRUE,Apparel,,,TRUE,New
g,,,,,,,,44.99,,,,Activewear,Size,run-short-m,Unisex,sprint-shorts,39.99,Shorts,Quick-dry running shorts with liner,1,manual,Black,deny,,Sprint Master Shorts,RS001,active,60,,,,Lightweight running shorts with built-in liner,https://example.com/shorts-black.jpg,Medium,FALSE,,,,running athletic shorts,SpeedGear,TRUE,200,Clothing,Performance Running Shorts,TRUE,Apparel,,,TRUE,New
g,,,,,,,,89.99,,,,Denim,Size,wide-jean-32,Womens,comfort-wide-leg,79.99,Pants,Trendy wide-leg jeans with high waist,1,manual,Light Wash,deny,,Comfort Wide Leg Jeans,WJ001,active,35,,,,High-waisted wide-leg jeans in light wash,https://example.com/jeans-light.jpg,32,FALSE,,,,denim wide-leg trendy,StyleDenim,TRUE,450,Clothing,Wide Leg Denim Collection,TRUE,Apparel,,,TRUE,New
